Numer;Dzien;Miesiac;Rok;L1;L2;L3;L4;L5;L6
5927;6;4;2017;18;22;37;29;14;17
5928;8;4;2017;43;25;6;21;14;39
5929;11;4;2017;10;13;5;24;25;21
5930;13;4;2017;11;21;37;13;2;24
5931;15;4;2017;9;17;26;48;28;22
5932;18;4;2017;2;7;25;48;28;41
5933;20;4;2017;8;41;48;43;32;21
5934;22;4;2017;41;43;36;34;2;46
5935;25;4;2017;36;7;38;44;5;2
5936;27;4;2017;25;37;22;4;26;10
5937;29;4;2017;7;34;2;21;37;22
5938;2;5;2017;14;1;30;36;24;46
5939;4;5;2017;49;1;27;28;48;19
5940;6;5;2017;1;23;20;40;3;5
5941;9;5;2017;5;34;16;37;13;10
5942;11;5;2017;23;37;10;6;22;36
5943;13;5;2017;30;4;17;8;10;7
5944;16;5;2017;29;42;21;14;41;3
5945;18;5;2017;30;37;33;38;9;24
5946;20;5;2017;21;40;35;49;25;39
5947;23;5;2017;26;25;38;45;14;30
5948;25;5;2017;9;42;15;4;32;43
5949;27;5;2017;7;8;5;33;22;32
5950;30;5;2017;40;44;18;6;42;36
5951;1;6;2017;35;23;27;41;45;34
5952;3;6;2017;38;23;11;30;35;21
5953;6;6;2017;7;17;25;15;49;5
5954;8;6;2017;22;13;26;19;12;11
5955;10;6;2017;2;43;24;40;15;6
5956;13;6;2017;1;35;5;39;20;30
5957;15;6;2017;25;15;10;24;14;32
5958;17;6;2017;43;24;9;1;25;38
5959;20;6;2017;47;32;40;39;46;35
5960;22;6;2017;41;44;4;7;49;5
5961;24;6;2017;29;33;30;46;22;9
5962;27;6;2017;20;12;34;48;39;15
5963;29;6;2017;39;26;15;30;25;33
5964;1;7;2017;2;21;17;23;22;20
5965;4;7;2017;25;48;30;22;3;10
5966;6;7;2017;9;38;28;24;26;29
5967;8;7;2017;37;1;14;43;36;3
5968;11;7;2017;32;43;6;35;15;14
5969;13;7;2017;11;8;4;14;39;23
5970;15;7;2017;39;38;28;35;1;23
5971;18;7;2017;41;43;29;44;18;31
5972;20;7;2017;6;23;29;33;31;18
5973;22;7;2017;10;27;5;21;28;26
5974;25;7;2017;39;10;18;45;16;17
5975;27;7;2017;26;46;24;21;27;13
5976;29;7;2017;40;24;36;4;48;29
5977;1;8;2017;39;27;25;17;42;16
5978;3;8;2017;2;14;12;49;6;29
5979;5;8;2017;27;38;10;14;36;24
5980;8;8;2017;7;16;43;39;41;37
5981;10;8;2017;19;5;39;15;4;13
5982;12;8;2017;44;2;48;15;32;21
5983;15;8;2017;23;38;19;7;46;49
5984;17;8;2017;10;14;24;21;3;30
5985;19;8;2017;23;45;24;13;20;27
5986;22;8;2017;6;4;29;12;2;37
5987;24;8;2017;28;20;40;8;4;21
5988;26;8;2017;47;17;12;8;35;34
5989;29;8;2017;35;5;23;13;32;45
5990;31;8;2017;12;38;36;11;47;10
5991;2;9;2017;36;46;17;21;37;31
5992;5;9;2017;40;43;10;39;6;46
5993;7;9;2017;8;29;1;5;43;2
5994;9;9;2017;13;3;42;7;45;10
5995;12;9;2017;20;28;4;29;47;39
5996;14;9;2017;28;12;29;13;2;17
5997;16;9;2017;2;40;47;49;29;8
5998;19;9;2017;13;31;22;26;36;38
5999;21;9;2017;10;18;17;32;9;48
6000;23;9;2017;39;37;48;33;49;35
6001;26;9;2017;7;49;41;37;47;46
6002;28;9;2017;36;11;29;32;17;12
6003;30;9;2017;28;43;6;26;22;44
6004;3;10;2017;2;21;11;40;45;8
6005;5;10;2017;29;45;39;14;47;8
6006;7;10;2017;15;36;1;35;8;34
6007;10;10;2017;17;14;40;12;7;23
6008;12;10;2017;6;15;36;7;24;28
6009;14;10;2017;18;3;19;8;21;30
6010;17;10;2017;5;38;40;9;43;18
6011;19;10;2017;38;15;21;30;4;26
6012;21;10;2017;2;22;13;11;25;37
6013;24;10;2017;39;19;40;38;23;7
6014;26;10;2017;38;18;43;1;41;22
6015;28;10;2017;47;28;46;25;24;22
6016;31;10;2017;27;40;19;6;11;25
6017;2;11;2017;2;36;1;40;4;10
6018;4;11;2017;46;5;18;11;2;28
6019;7;11;2017;27;13;10;35;43;47
6020;9;11;2017;16;7;12;13;31;34
6021;11;11;2017;18;24;23;3;38;12
6022;14;11;2017;3;26;16;33;28;36
6023;16;11;2017;43;5;13;47;20;37
6024;18;11;2017;28;30;32;21;22;49
6025;21;11;2017;45;4;47;15;1;49
6026;23;11;2017;32;44;37;10;40;35
6027;25;11;2017;49;32;5;35;19;4
6028;28;11;2017;15;17;43;9;6;31
6029;30;11;2017;30;20;5;16;14;29
6030;2;12;2017;25;8;3;13;22;35
6031;5;12;2017;18;7;40;43;2;30
6032;7;12;2017;41;39;37;30;20;23
6033;9;12;2017;13;18;26;1;9;38
6034;12;12;2017;23;36;37;28;34;47
6035;14;12;2017;8;41;16;22;7;44
6036;16;12;2017;32;14;19;3;16;4
6037;19;12;2017;12;9;4;24;2;31
6038;21;12;2017;21;35;47;38;13;23
6039;23;12;2017;15;17;14;36;39;25
6040;26;12;2017;32;45;30;24;25;13
6041;28;12;2017;34;41;44;43;36;12
6042;30;12;2017;12;3;46;6;18;8
6043;2;1;2018;42;45;49;16;5;27
6044;4;1;2018;21;25;47;38;16;23
6045;6;1;2018;31;20;21;14;27;17
6046;9;1;2018;3;40;44;15;39;1
6047;11;1;2018;11;9;17;47;38;36
6048;13;1;2018;25;29;35;21;26;49
6049;16;1;2018;36;7;2;49;27;16
6050;18;1;2018;28;22;11;27;17;13
6051;20;1;2018;40;45;9;30;23;36
6052;23;1;2018;45;5;25;37;49;16
6053;25;1;2018;46;39;36;20;30;43
6054;27;1;2018;38;40;10;20;29;9
6055;30;1;2018;44;9;26;47;8;15
6056;1;2;2018;29;31;44;45;18;33
6057;3;2;2018;20;17;5;40;37;14
6058;6;2;2018;21;44;27;7;5;34
6059;8;2;2018;37;41;39;9;11;5
6060;10;2;2018;36;28;4;19;5;15
6061;13;2;2018;8;42;45;29;23;25
6062;15;2;2018;38;8;20;12;7;10
6063;17;2;2018;12;49;42;35;3;34
6064;20;2;2018;18;7;49;14;16;44
6065;22;2;2018;43;6;27;38;44;40
6066;24;2;2018;35;12;39;45;44;42
6067;27;2;2018;47;22;6;28;39;38
6068;1;3;2018;43;39;32;36;17;2
6069;3;3;2018;8;31;18;45;39;3
6070;6;3;2018;17;11;29;9;18;5
6071;8;3;2018;8;49;21;10;7;20
6072;10;3;2018;34;35;5;26;36;2
6073;13;3;2018;26;35;45;9;49;39
6074;15;3;2018;36;18;42;39;31;47
6075;17;3;2018;10;47;27;32;1;44
6076;20;3;2018;14;28;20;37;15;33
6077;22;3;2018;8;5;4;34;18;35
6078;24;3;2018;15;31;38;41;9;12
6079;27;3;2018;22;16;9;21;20;27
6080;29;3;2018;8;12;26;20;40;23
6081;31;3;2018;43;14;42;37;11;26
6082;3;4;2018;1;38;10;16;36;3
6083;5;4;2018;42;13;41;23;26;9
6084;7;4;2018;28;16;31;48;9;11
6085;10;4;2018;44;34;25;33;12;14
6086;12;4;2018;30;42;6;40;8;35
6087;14;4;2018;44;12;45;9;26;11
6088;17;4;2018;44;31;13;39;11;8
6089;19;4;2018;25;3;18;22;6;43
6090;21;4;2018;21;9;24;12;30;16
6091;24;4;2018;36;24;49;45;19;20
6092;26;4;2018;43;37;41;12;22;7
6093;28;4;2018;25;35;18;1;20;46
6094;1;5;2018;42;1;34;49;28;33
6095;3;5;2018;47;33;17;7;41;45
6096;5;5;2018;1;16;44;14;18;33
6097;8;5;2018;17;31;35;39;4;33
6098;10;5;2018;20;24;33;42;38;5
6099;12;5;2018;18;13;36;27;33;43
6100;15;5;2018;45;13;48;38;5;10
6101;17;5;2018;4;43;19;32;46;7
6102;19;5;2018;13;30;38;31;49;2
6103;22;5;2018;13;36;35;2;43;33
6104;24;5;2018;43;6;16;9;17;40
6105;26;5;2018;16;43;47;15;36;13
6106;29;5;2018;23;18;48;7;25;34
6107;31;5;2018;19;37;36;41;10;29
6108;2;6;2018;46;8;11;39;21;45
6109;5;6;2018;26;42;37;41;17;39
6110;7;6;2018;40;4;16;48;10;11
6111;9;6;2018;24;26;34;16;45;4
6112;12;6;2018;21;43;16;4;27;1
6113;14;6;2018;30;8;35;15;21;49
6114;16;6;2018;10;42;22;47;38;16
6115;19;6;2018;22;19;20;4;43;10
6116;21;6;2018;24;41;12;3;29;34
6117;23;6;2018;12;32;20;1;29;21
6118;26;6;2018;24;48;28;29;27;20
6119;28;6;2018;47;14;46;2;17;19
6120;30;6;2018;17;15;3;42;49;32
6121;3;7;2018;49;46;10;21;2;44
6122;5;7;2018;33;2;27;13;32;24
6123;7;7;2018;23;20;33;22;13;42
6124;10;7;2018;14;15;22;4;9;18
6125;12;7;2018;42;10;24;44;13;9
6126;14;7;2018;11;42;4;26;29;20
6127;17;7;2018;29;20;45;23;22;31
6128;19;7;2018;24;42;1;9;46;11
6129;21;7;2018;41;22;35;26;37;27
6130;24;7;2018;4;14;44;31;28;26
6131;26;7;2018;8;24;11;26;6;19
6132;28;7;2018;49;11;42;45;43;28
6133;31;7;2018;46;1;18;31;19;22
6134;2;8;2018;35;32;15;24;48;42
6135;4;8;2018;33;6;49;15;2;28
6136;7;8;2018;42;36;10;23;15;16
6137;9;8;2018;24;49;23;39;3;30
6138;11;8;2018;46;14;31;21;20;43
6139;14;8;2018;27;37;32;34;49;6
6140;16;8;2018;19;29;22;11;48;41
6141;18;8;2018;3;13;19;40;33;26
6142;21;8;2018;1;42;26;37;22;12
6143;23;8;2018;24;3;11;36;25;28
6144;25;8;2018;23;24;36;27;45;48
6145;28;8;2018;46;7;20;24;22;1
6146;30;8;2018;14;6;17;42;46;25
6147;1;9;2018;44;42;33;20;14;26
6148;4;9;2018;22;4;33;8;3;48
6149;6;9;2018;5;36;10;49;33;18
6150;8;9;2018;23;44;27;45;31;7
6151;11;9;2018;18;25;5;43;48;34
6152;13;9;2018;10;41;1;32;14;44
6153;15;9;2018;8;7;47;3;32;39
6154;18;9;2018;11;9;33;29;20;24
6155;20;9;2018;38;34;44;26;16;27
6156;22;9;2018;48;23;46;43;25;27
6157;25;9;2018;24;35;3;39;36;46
6158;27;9;2018;3;19;32;34;8;45
6159;29;9;2018;30;10;11;13;27;46
6160;2;10;2018;38;7;23;33;16;46
6161;4;10;2018;43;20;16;47;30;21
6162;6;10;2018;45;23;3;9;7;29
6163;9;10;2018;49;25;16;45;34;2
6164;11;10;2018;38;45;42;2;36;15
6165;13;10;2018;19;15;6;13;20;3
6166;16;10;2018;4;23;18;34;43;17
6167;18;10;2018;26;2;11;33;10;48
6168;20;10;2018;9;30;14;21;24;44
6169;23;10;2018;44;26;41;23;35;42
6170;25;10;2018;20;32;16;47;41;46
6171;27;10;2018;8;14;32;44;11;25
6172;30;10;2018;33;28;43;30;49;25
6173;1;11;2018;24;25;16;26;10;9
6174;3;11;2018;9;23;47;40;42;1
6175;6;11;2018;39;21;24;40;38;49
6176;8;11;2018;37;8;21;40;38;4
6177;10;11;2018;18;2;8;36;49;6
6178;13;11;2018;29;38;43;9;31;44
6179;15;11;2018;2;32;49;16;18;23
6180;17;11;2018;34;24;17;40;36;21
6181;20;11;2018;6;9;3;13;12;32
6182;22;11;2018;42;25;19;4;38;20
6183;24;11;2018;3;34;9;4;48;21
6184;27;11;2018;8;5;26;43;44;33
6185;29;11;2018;20;38;12;26;46;7
6186;1;12;2018;6;4;16;28;1;41
6187;4;12;2018;16;39;33;32;2;14
6188;6;12;2018;48;32;1;30;42;43
6189;8;12;2018;28;29;39;37;1;8
6190;11;12;2018;19;13;40;20;28;34
6191;13;12;2018;18;4;10;15;11;7
6192;15;12;2018;22;26;6;35;32;1
6193;18;12;2018;21;40;38;5;13;43
6194;20;12;2018;6;8;19;48;28;33
6195;22;12;2018;43;41;10;23;32;2
6196;25;12;2018;45;12;47;34;3;40
6197;27;12;2018;34;31;1;20;12;49
6198;29;12;2018;35;48;24;10;37;41
6199;1;1;2019;36;7;25;12;45;22
6200;3;1;2019;37;46;17;13;30;29
6201;5;1;2019;2;29;22;41;1;11
6202;8;1;2019;9;44;40;16;22;19
6203;10;1;2019;12;5;28;19;32;23
6204;12;1;2019;43;23;21;10;17;20
6205;15;1;2019;42;28;8;31;37;26
6206;17;1;2019;11;28;2;18;36;20
6207;19;1;2019;3;7;30;4;25;37
6208;22;1;2019;33;13;31;38;21;49
6209;24;1;2019;33;1;12;30;27;21
6210;26;1;2019;18;47;21;3;29;8
6211;29;1;2019;31;18;34;29;35;17
6212;31;1;2019;23;9;1;10;31;43
6213;2;2;2019;40;10;26;7;30;37
6214;5;2;2019;24;25;26;42;4;18
6215;7;2;2019;44;45;42;38;3;10
6216;9;2;2019;30;16;40;6;46;15
6217;12;2;2019;49;4;16;47;5;41
6218;14;2;2019;20;39;30;35;38;23
6219;16;2;2019;21;49;11;40;34;33
6220;19;2;2019;16;19;40;30;39;3
6221;21;2;2019;6;23;30;40;44;42
6222;23;2;2019;46;6;18;1;4;44
6223;26;2;2019;27;28;33;44;14;13
6224;28;2;2019;45;8;42;27;2;4
6225;2;3;2019;3;6;49;43;47;45
6226;5;3;2019;6;43;4;25;49;18
6227;7;3;2019;22;35;18;24;14;11
6228;9;3;2019;37;3;23;7;24;10
6229;12;3;2019;25;44;1;15;36;12
6230;14;3;2019;2;14;18;43;25;6
6231;16;3;2019;14;42;33;45;16;39
6232;19;3;2019;18;29;28;25;8;22
6233;21;3;2019;4;1;49;48;5;9
6234;23;3;2019;36;40;25;9;47;14
6235;26;3;2019;24;5;6;13;26;40
6236;28;3;2019;31;39;21;20;12;16
6237;30;3;2019;31;34;17;46;8;6
6238;2;4;2019;46;44;27;19;34;1
6239;4;4;2019;15;38;28;3;29;2
6240;6;4;2019;7;25;2;35;3;32
6241;9;4;2019;43;27;20;47;22;16
6242;11;4;2019;24;16;40;45;2;44
6243;13;4;2019;29;26;25;36;24;40
6244;16;4;2019;42;37;22;31;14;26
6245;18;4;2019;13;19;37;40;45;8
6246;20;4;2019;22;1;19;40;39;18
6247;23;4;2019;32;30;11;33;36;9
6248;25;4;2019;34;10;49;32;8;35
6249;27;4;2019;26;2;29;31;1;19
6250;30;4;2019;33;25;34;28;45;46
6251;2;5;2019;22;3;31;32;23;21
6252;4;5;2019;27;41;8;40;46;25
6253;7;5;2019;36;16;44;19;7;21
6254;9;5;2019;24;20;1;42;10;21
6255;11;5;2019;31;17;29;47;2;16
6256;14;5;2019;18;2;20;25;37;8
6257;16;5;2019;10;22;39;11;3;30
6258;18;5;2019;24;46;37;13;31;19
