0002	2	0.5		0000
0003	1	1.0		0000
0005	2	2.0		0001
0007	2	3.0		0001
0011	4	5.0		0010
0013	2	6.0		0001
0017	4	8.0		0010
0019	2	9.0		0001
0023	4	11.0		0010
0029	6	14.0		0011
0031	2	15.0		0001
0037	6	18.0		0011
0041	4	20.0		0010
0043	2	21.0		0001
0047	4	23.0		0010
0053	6	26.0		0011
0059	6	29.0		0011
0061	2	30.0		0001
0067	6	33.0		0011
0071	4	35.0		0010
0073	2	36.0		0001
0079	6	39.0		0011
0083	4	41.0		0010
0089	6	44.0		0011
0097	8	48.0		0100
0101	4	50.0		0010
0103	2	51.0		0001
0107	4	53.0		0010
0109	2	54.0		0001
0113	4	56.0		0010
0127	14	63.0		0111
0131	4	65.0		0010
0137	6	68.0		0011
0139	2	69.0		0001
0149	10	74.0		0101
0151	2	75.0		0001
0157	6	78.0		0011
0163	6	81.0		0011
0167	4	83.0		0010
0173	6	86.0		0011
0179	6	89.0		0011
0181	2	90.0		0001
0191	10	95.0		0101
0193	2	96.0		0001
0197	4	98.0		0010
0199	2	99.0		0001
0211	12	105.0		0110
0223	12	111.0		0110
0227	4	113.0		0010
0229	2	114.0		0001
0233	4	116.0		0010
0239	6	119.0		0011
0241	2	120.0		0001
0251	10	125.0		0101
0257	6	128.0		0011
0263	6	131.0		0011
0269	6	134.0		0011
0271	2	135.0		0001
0277	6	138.0		0011
0281	4	140.0		0010
0283	2	141.0		0001
0293	10	146.0		0101
0307	14	153.0		0111
0311	4	155.0		0010
0313	2	156.0		0001
0317	4	158.0		0010
0331	14	165.0		0111
0337	6	168.0		0011
0347	10	173.0		0101
0349	2	174.0		0001
0353	4	176.0		0010
0359	6	179.0		0011
0367	8	183.0		0100
0373	6	186.0		0011
0379	6	189.0		0011
0383	4	191.0		0010
0389	6	194.0		0011
0397	8	198.0		0100
0401	4	200.0		0010
0409	8	204.0		0100
0419	10	209.0		0101
0421	2	210.0		0001
0431	10	215.0		0101
0433	2	216.0		0001
0439	6	219.0		0011
0443	4	221.0		0010
0449	6	224.0		0011
0457	8	228.0		0100
0461	4	230.0		0010
0463	2	231.0		0001
0467	4	233.0		0010
0479	12	239.0		0110
0487	8	243.0		0100
0491	4	245.0		0010
0499	8	249.0		0100
0503	4	251.0		0010
0509	6	254.0		0011
0521	12	260.0		0110
0523	2	261.0		0001
0541	18	270.0		1001
0547	6	273.0		0011
0557	10	278.0		0101
0563	6	281.0		0011
0569	6	284.0		0011
0571	2	285.0		0001
0577	6	288.0		0011
0587	10	293.0		0101
0593	6	296.0		0011
0599	6	299.0		0011
0601	2	300.0		0001
0607	6	303.0		0011
0613	6	306.0		0011
0617	4	308.0		0010
0619	2	309.0		0001
0631	12	315.0		0110
0641	10	320.0		0101
0643	2	321.0		0001
0647	4	323.0		0010
0653	6	326.0		0011
0659	6	329.0		0011
0661	2	330.0		0001
0673	12	336.0		0110
0677	4	338.0		0010
0683	6	341.0		0011
0691	8	345.0		0100
0701	10	350.0		0101
0709	8	354.0		0100
0719	10	359.0		0101
0727	8	363.0		0100
0733	6	366.0		0011
0739	6	369.0		0011
0743	4	371.0		0010
0751	8	375.0		0100
0757	6	378.0		0011
0761	4	380.0		0010
0769	8	384.0		0100
0773	4	386.0		0010
0787	14	393.0		0111
0797	10	398.0		0101
0809	12	404.0		0110
0811	2	405.0		0001
0821	10	410.0		0101
0823	2	411.0		0001
0827	4	413.0		0010
0829	2	414.0		0001
0839	10	419.0		0101
0853	14	426.0		0111
0857	4	428.0		0010
0859	2	429.0		0001
0863	4	431.0		0010
0877	14	438.0		0111
0881	4	440.0		0010
0883	2	441.0		0001
0887	4	443.0		0010
0907	20	453.0		1010
0911	4	455.0		0010
0919	8	459.0		0100
0929	10	464.0		0101
0937	8	468.0		0100
0941	4	470.0		0010
0947	6	473.0		0011
0953	6	476.0		0011
0967	14	483.0		0111
0971	4	485.0		0010
0977	6	488.0		0011
0983	6	491.0		0011
0991	8	495.0		0100
0997	6	498.0		0011
1009	12	504.0		0110
1013	4	506.0		0010
1019	6	509.0		0011
1021	2	510.0		0001
1031	10	515.0		0101
1033	2	516.0		0001
1039	6	519.0		0011
1049	10	524.0		0101
1051	2	525.0		0001
1061	10	530.0		0101
1063	2	531.0		0001
1069	6	534.0		0011
1087	18	543.0		1001
1091	4	545.0		0010
1093	2	546.0		0001
1097	4	548.0		0010
1103	6	551.0		0011
1109	6	554.0		0011
1117	8	558.0		0100
1123	6	561.0		0011
1129	6	564.0		0011
1151	22	575.0		1011
1153	2	576.0		0001
1163	10	581.0		0101
1171	8	585.0		0100
1181	10	590.0		0101
1187	6	593.0		0011
1193	6	596.0		0011
1201	8	600.0		0100
1213	12	606.0		0110
1217	4	608.0		0010
1223	6	611.0		0011
1229	6	614.0		0011
1231	2	615.0		0001
1237	6	618.0		0011
1249	12	624.0		0110
1259	10	629.0		0101
1277	18	638.0		1001
1279	2	639.0		0001
